Exercise Name,Image URL,New Name
Bench Press,https://gymvisual.com/animated-gifs/1519-barbell-bench-press.html?search_query=barbell+bench+press&results=136,
Bench Pin Press,https://gymvisual.com/animated-gifs/14134-barbell-pin-chest-press.html?search_query=barbell+pin+press&results=12,
Bench Press Pin Hold,https://gymvisual.com/animated-gifs/18266-barbell-pin-bench-press-conventional-grip-male.html#/47-style_type-basic_grey,
Wide-Grip Bench Press,,
Close-Grip Bench Press,https://gymvisual.com/animated-gifs/1524-barbell-close-grip-bench-press.html?search_query=Barbell+close+grip+Bench+Press&results=21,
Close-Grip Incline Bench Press,https://gymvisual.com/animated-gifs/3731-barbell-incline-close-grip-bench-press.html?search_query=Barbell+close+grip+Bench+Press&results=21,
Converging Smith Bench Press,,
Converging Smith Decline Bench Press,,
Converging Smith Incline Bench Press,,
Decline Bench Press,https://gymvisual.com/animated-gifs/1527-barbell-decline-bench-press.html?search_query=barbell+decline+bench+press&results=12,
Decline Dumbbell Bench Press,https://gymvisual.com/animated-gifs/1794-dumbbell-decline-bench-press.html?search_query=decline+dumbbell+bench+press&results=9,
Dumbbell Bench Press,https://gymvisual.com/animated-gifs/1782-dumbbell-bench-press.html?search_query=dumbbell+bench+press&results=66,
Dumbbell Squeeze Press,https://gymvisual.com/animated-gifs/9923-dumbbell-squeeze-bench-press.html?search_query=dumbbell+bench+press&results=66,
Incline Bench Press,https://gymvisual.com/animated-gifs/1541-barbell-incline-bench-press.html?search_query=barbell+incline+bench+press&results=20,
Incline Dumbbell Bench Press,https://gymvisual.com/animated-gifs/1807-dumbbell-incline-bench-press.html?search_query=incline+dumbbell+bench+press&results=12,
JM Press,,
Reverse Grip Bench Press,https://gymvisual.com/animated-gifs/13554-barbell-reverse-grip-bench-press.html?search_query=reverse+grip+bench+press&results=26,Reverse-Grip Bench Press
Reverse-Grip Dumbbell Press,https://gymvisual.com/animated-gifs/12352-dumbbell-reverse-grip-squeeze-bench-press.html?search_query=reverse+grip+dumbbell+press&results=7,
Single-Arm Dumbbell Bench Press,,
Smith Machine Bench Press,https://gymvisual.com/animated-gifs/2231-smith-bench-press.html?search_query=smith+bench&results=37,
Smith Machine Incline Bench Press,https://gymvisual.com/animated-gifs/2240-smith-incline-bench-press.html?search_query=smith+incline+bench&results=6,
